,School Name,School Type,SAT Reading Average,SAT Math Average,District,Grades Served
2070,Noble St Chtr-Muchin College Prep,CHARTER SCH,499.6,519.0,City of Chicago SD 299, 9 10 11 12
2077,Washington G High School,HIGH SCHOOL,452.5,443.5,City of Chicago SD 299, 9 10 11 12
2094,Solorio Academy High School,HIGH SCHOOL,483.4,502.2,City of Chicago SD 299, 9 10 11 12
2128,Steinmetz College Prep HS,HIGH SCHOOL,435.3,417.5,City of Chicago SD 299, 9 10 11 12
2160,Noble St Chtr-UIC College Prep,CHARTER SCH,515.8,550.2,City of Chicago SD 299, 9 10 11 12
2171,Lane Technical High School,HIGH SCHOOL,608.6,627.0,City of Chicago SD 299, 7 8 9 10 11 12
2176,Noble St Chtr-Johnson College Prep,CHARTER SCH,437.6,448.5,City of Chicago SD 299, 9 10 11 12
2186,IHSCA Charter High School,CHARTER SCH,417.1,405.9,City of Chicago SD 299, 9 10 11 12
2201,Noble St Chtr-Baker Campus,CHARTER SCH,442.3,457.3,City of Chicago SD 299, 9 10 11 12
2202,King College Prep High School,HIGH SCHOOL,517.7,508.0,City of Chicago SD 299, 9 10 11 12
2204,Jones College Prep High School,HIGH SCHOOL,640.1,644.5,City of Chicago SD 299, 9 10 11 12
2241,Infinity Math  Science & Tech HS,HIGH SCHOOL,439.3,488.8,City of Chicago SD 299, 9 10 11 12
2276,Orr Academy High School,HIGH SCHOOL,390.9,381.3,City of Chicago SD 299, 9 10 11 12
2309,IJLA Charter High School,CHARTER SCH,413.0,391.0,City of Chicago SD 299, 9 10 11 12
2345,Taft High School,HIGH SCHOOL,501.5,491.0,City of Chicago SD 299, 7 8 9 10 11 12
2376,YCCS Chtr - Chatham,CHARTER SCH,379.0,360.3,City of Chicago SD 299, 9 10 11 12
2408,Prosser Career Academy HS,HIGH SCHOOL,476.1,477.6,City of Chicago SD 299, 9 10 11 12
2459,CICS - Northtown  Campus,CHARTER SCH,447.7,462.4,City of Chicago SD 299, 9 10 11 12
2489,YCCS-Westside Holistic Ldr Acad HS,CHARTER SCH,374.3,366.3,City of Chicago SD 299, 9 10 11 12
2490,Phoenix Military Academy HS,HIGH SCHOOL,482.6,490.0,City of Chicago SD 299, 9 10 11 12
2493,Kennedy High School,HIGH SCHOOL,482.6,469.0,City of Chicago SD 299, 9 10 11 12
2514,Legal Prep Academy Charter HS,CHARTER SCH,409.0,420.6,City of Chicago SD 299, 9 10 11 12
2556,Noble St Chtr-Rowe-Clark MS Acad,CHARTER SCH,454.0,484.3,City of Chicago SD 299, 9 10 11 12
2638,Farragut Career Academy HS,HIGH SCHOOL,413.2,414.3,City of Chicago SD 299,PK 9 10 11 12
2649,Chicago Math & Sci Elem Charter,CHARTER SCH,482.5,542.8,City of Chicago SD 299, 6 7 8 9 10 11 12
2653,Rickover Naval Academy High Schl,HIGH SCHOOL,481.1,476.4,City of Chicago SD 299, 9 10 11 12
2699,Williams Medical Prep High Sch,HIGH SCHOOL,440.7,406.9,City of Chicago SD 299, 9 10 11 12
2701,Morgan Park High School,HIGH SCHOOL,444.5,431.7,City of Chicago SD 299, 7 8 9 10 11 12
2748,YCCS-Innovations of Arts Integr HS,CHARTER SCH,384.3,363.7,City of Chicago SD 299, 9 10 11 12
2750,YCCS-ASPIRA Pantoja Alt HS,CHARTER SCH,397.3,385.1,City of Chicago SD 299, 9 10 11 12
