,School Name,School Type,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,High School 5-Year Graduation Rate - Total,Avg Class Size - High School,Teacher Retention Rate,# 9th Grade on Track,% Graduates enrolled in a Postsecondary Institution within 12 months,# Graduates enrolled in Community College,Chronic Absenteeism,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction.1,Five Essential Survey Student Response Rate,Five Essential Survey Teacher Response Rate,# CRDC Total Enrollment,% CRDC In-School Suspensions,% CRDC Out-of-School Suspensions,% CRDC Expulsions,% CRDC School Related Arrests,% CRDC Referral to Law Enforcement,% CRDC Chronic Absenteeism,% CRDC Incidents of Violence,% CRDC Enrolled PreK,% CRDC Advanced Placement Coursework,District,Grades Served
1225,YCCS-Youth Connection Leadership Academy,CHARTER SCH,219,0.5,95.9,3.2,,,,0.5,19.6,0.9,83.1,15.5,178.0,56.2,256.0,100.0,47.2,45.8,51.3,10.2,55.6,,,,100.0,59.0,3.0,48.0,3.0,0.0,0.0,46.0,3.0,47.0,3.0,51.1,66.7,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1226,YCCS Chtr - Chatham,CHARTER SCH,174,,98.9,1.1,,,,,17.2,,93.7,19.5,178.0,70.6,217.0,100.0,42.1,38.0,49.3,4.8,57.1,,,,100.0,71.0,4.0,62.0,4.0,0.0,0.0,59.0,3.0,54.0,3.0,54.2,83.3,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1227,ASPIRA Charter - Early College Prep HS,CHARTER SCH,328,1.5,2.1,94.8,0.6,,0.3,0.6,30.5,34.1,94.5,5.2,178.0,91.7,132.0,42.8,10.1,75.9,91.8,17.8,,82.0,,,34.6,69.0,4.0,83.0,5.0,97.0,5.0,72.0,4.0,74.0,4.0,83.4,90.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1228,Julian High School,HIGH SCHOOL,449,,98.0,1.8,,,,0.2,26.9,0.2,85.7,19.6,178.0,81.0,416.0,96.4,7.6,81.2,82.4,28.8,79.6,81.0,41.5,46.0,89.8,48.0,3.0,73.0,4.0,72.0,4.0,70.0,4.0,87.0,5.0,65.1,82.5,725.0,47.7,25.7,0.0,4.8,10.9,84.0,7.9,0.0,5.5,City of Chicago SD 299, 9 10 11 12
1229,Young Magnet High School,HIGH SCHOOL,2208,28.3,20.6,29.4,16.9,0.6,0.3,4.0,13.1,1.9,37.8,0.1,178.0,95.4,132.0,6.8,1.1,96.8,97.6,27.3,95.0,468.0,88.7,22.0,10.5,47.0,3.0,53.0,3.0,89.0,5.0,76.0,4.0,85.0,5.0,62.9,50.4,2158.0,1.0,1.0,0.0,0.0,0.0,23.1,0.1,0.0,52.5,City of Chicago SD 299, 7 8 9 10 11 12
1230,Juarez Community Academy HS,HIGH SCHOOL,1702,0.6,3.1,94.2,0.6,,0.4,1.1,19.2,21.3,71.9,0.8,178.0,85.7,1171.0,73.1,5.9,68.8,83.2,25.2,91.4,421.0,57.7,73.0,54.9,61.0,4.0,82.0,5.0,93.0,5.0,68.0,4.0,84.0,5.0,75.5,93.5,1689.0,3.0,8.8,0.1,0.0,0.5,49.1,2.7,0.0,24.6,City of Chicago SD 299, 9 10 11 12
1231,Chicago HS for Agricult Sciences,HIGH SCHOOL,761,35.5,43.8,17.6,0.3,0.1,0.8,2.0,27.7,1.7,39.8,,178.0,93.6,141.0,22.4,1.2,95.8,95.2,25.3,89.7,167.0,82.9,46.0,19.7,72.0,4.0,77.0,4.0,82.0,5.0,64.0,4.0,60.0,4.0,87.9,79.4,720.0,0.6,4.0,0.0,0.0,0.3,33.6,1.4,0.0,11.0,City of Chicago SD 299, 9 10 11 12
1232,Hancock College Preparatory HS,HIGH SCHOOL,1008,2.9,1.8,93.9,1.1,,0.3,,8.0,0.6,81.7,0.5,178.0,92.9,304.0,33.1,3.5,92.6,82.4,27.6,92.5,262.0,78.9,76.0,25.8,68.0,4.0,72.0,4.0,77.0,4.0,75.0,4.0,91.0,5.0,82.6,93.4,906.0,0.0,6.7,0.0,0.0,0.4,50.0,0.8,0.0,25.3,City of Chicago SD 299, 9 10 11 12
1233,Brooks College Prep Academy HS,HIGH SCHOOL,986,0.8,80.1,18.2,0.2,0.2,0.1,0.4,9.3,0.3,67.6,2.4,178.0,91.0,493.0,56.6,2.8,87.9,90.1,29.3,89.8,170.0,88.1,16.0,32.4,51.0,3.0,54.0,3.0,68.0,4.0,50.0,3.0,69.0,4.0,85.8,77.6,838.0,8.1,5.4,0.0,0.0,0.0,45.0,1.0,0.0,84.2,City of Chicago SD 299, 7 8 9 10 11 12
1234,Northside College Preparatory Hs,HIGH SCHOOL,1090,26.9,7.5,29.8,20.3,0.9,0.5,14.1,13.6,1.1,44.0,0.2,178.0,94.3,248.0,25.2,0.2,97.4,97.9,26.9,93.7,272.0,93.6,11.0,16.4,71.0,4.0,73.0,4.0,98.0,5.0,88.0,5.0,99.0,5.0,58.7,64.8,1062.0,0.0,1.1,0.0,0.0,0.6,31.3,0.2,0.0,59.2,City of Chicago SD 299, 9 10 11 12
1235,Chicago Military Academy HS,HIGH SCHOOL,299,1.3,62.9,34.8,,,,1.0,15.4,6.4,73.9,6.4,178.0,90.8,147.0,54.2,0.7,95.6,93.6,22.4,76.9,41.0,52.6,8.0,36.1,64.0,4.0,67.0,4.0,67.0,4.0,43.0,3.0,63.0,4.0,87.4,99.9,331.0,0.6,17.5,0.6,0.6,2.1,34.1,7.9,0.0,15.4,City of Chicago SD 299, 9 10 11 12
1236,Payton College Preparatory HS,HIGH SCHOOL,1153,43.6,10.8,22.3,17.4,0.7,0.2,5.0,12.5,0.9,31.0,0.2,178.0,94.3,182.0,17.5,0.4,98.1,97.7,27.1,96.2,301.0,89.1,16.0,18.3,52.0,3.0,49.0,3.0,90.0,5.0,88.0,5.0,95.0,5.0,73.5,65.4,887.0,0.7,2.8,0.0,0.0,0.0,34.6,0.1,0.0,76.3,City of Chicago SD 299, 9 10 11 12
1237,Aspira Charter - Business and Finance HS,CHARTER SCH,640,1.6,2.7,94.4,0.6,,0.2,0.6,25.6,33.0,66.3,0.8,178.0,87.1,408.0,67.7,2.6,86.7,,26.2,0.0,94.0,,,51.0,9.0,1.0,29.0,2.0,27.0,2.0,54.0,3.0,62.0,4.0,80.5,55.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1238,Phoenix Military Academy HS,HIGH SCHOOL,545,0.9,15.6,80.6,1.7,0.4,0.6,0.4,11.4,7.3,88.6,2.2,178.0,94.9,179.0,36.6,0.6,99.1,100.0,26.7,91.2,138.0,75.0,50.0,15.3,56.0,3.0,69.0,4.0,87.0,5.0,60.0,4.0,76.0,4.0,92.7,90.9,520.0,5.4,6.5,0.0,0.0,0.8,24.2,1.9,0.0,52.1,City of Chicago SD 299, 9 10 11 12
1239,Spry Community Links High School,HIGH SCHOOL,127,2.4,,96.1,,,0.8,0.8,29.9,43.3,92.9,,178.0,82.5,86.0,80.8,12.2,61.9,92.2,18.9,96.6,27.0,78.6,25.0,62.9,52.0,3.0,86.0,5.0,70.0,4.0,69.0,4.0,56.0,3.0,84.3,81.3,178.0,18.0,5.1,0.0,0.0,0.0,40.4,3.9,0.0,44.4,City of Chicago SD 299, 9 10 11 12
1241,Chicago Academy High School,HIGH SCHOOL,559,19.7,10.2,63.9,4.5,0.2,0.7,0.9,23.8,13.8,80.0,1.3,178.0,94.1,152.0,29.8,3.3,89.0,91.4,28.5,85.1,139.0,80.2,32.0,19.2,64.0,4.0,68.0,4.0,49.0,3.0,68.0,4.0,79.0,4.0,98.9,87.5,547.0,40.4,6.8,0.0,0.0,0.7,36.0,1.3,0.0,17.9,City of Chicago SD 299, 9 10 11 12
1242,Bowen High School,HIGH SCHOOL,250,0.4,80.0,18.4,,0.8,,0.4,31.2,10.4,86.0,35.2,178.0,83.4,301.0,96.5,11.2,55.2,57.7,22.3,80.4,29.0,34.9,19.0,76.7,54.0,3.0,58.0,3.0,65.0,4.0,69.0,4.0,78.0,4.0,49.8,50.0,361.0,78.9,35.5,0.0,1.1,3.9,62.9,6.1,0.0,20.2,City of Chicago SD 299, 9 10 11 12
1243,North-Grand High School,HIGH SCHOOL,991,1.0,17.1,80.9,0.3,,0.4,0.3,25.0,26.7,88.6,2.0,178.0,89.6,377.0,42.7,6.6,87.9,83.4,28.9,94.4,220.0,61.3,51.0,46.4,80.0,5.0,81.0,5.0,87.0,5.0,63.0,4.0,77.0,4.0,89.8,82.1,979.0,41.4,17.8,0.0,0.2,0.2,55.7,2.5,0.0,15.5,City of Chicago SD 299, 9 10 11 12
1244,Raby High School,HIGH SCHOOL,343,1.2,92.1,6.1,0.3,0.3,,,30.9,3.8,93.9,8.5,178.0,80.9,261.0,100.0,4.3,88.6,90.5,18.9,74.7,47.0,46.8,13.0,86.2,33.0,2.0,56.0,3.0,37.0,2.0,51.0,3.0,58.0,3.0,84.1,59.5,483.0,44.9,31.1,0.0,0.4,0.8,71.8,1.4,0.0,9.5,City of Chicago SD 299, 9 10 11 12
1245,Clark Acad Prep Magnet High Schl,HIGH SCHOOL,516,,96.7,3.1,,,0.2,,17.4,1.6,76.4,6.4,178.0,90.7,289.0,65.6,1.7,92.1,96.9,25.4,72.0,97.0,71.4,26.0,40.6,55.0,3.0,68.0,4.0,73.0,4.0,45.0,3.0,61.0,4.0,74.2,72.5,525.0,7.2,32.6,0.0,0.4,0.8,32.2,11.6,0.0,16.2,City of Chicago SD 299, 9 10 11 12
1246,Rickover Naval Academy High Schl,HIGH SCHOOL,458,8.3,7.6,76.9,6.1,,0.4,0.7,17.0,5.9,86.5,1.7,178.0,92.2,178.0,42.7,3.4,94.3,92.9,24.9,91.9,94.0,72.3,31.0,28.3,78.0,4.0,85.0,5.0,92.0,5.0,60.0,4.0,64.0,4.0,87.8,72.7,582.0,7.7,8.4,0.0,0.0,0.3,36.4,2.7,0.0,18.9,City of Chicago SD 299, 9 10 11 12
1247,Uplift Community High School,HIGH SCHOOL,160,2.5,74.4,15.6,5.6,,0.6,1.3,42.5,13.1,90.6,15.0,178.0,85.1,85.0,80.2,4.0,86.0,96.0,18.0,75.0,10.0,57.9,12.0,72.2,55.0,3.0,65.0,4.0,77.0,4.0,50.0,3.0,74.0,4.0,71.4,77.8,314.0,16.2,18.8,0.0,0.6,1.3,46.5,2.9,0.0,16.6,City of Chicago SD 299, 9 10 11 12
1248,CICS - Northtown  Campus,CHARTER SCH,920,16.6,6.5,56.2,17.9,0.3,0.3,2.1,28.6,16.2,77.2,0.4,178.0,,,,1.9,98.5,97.8,27.7,,155.0,,,,92.0,5.0,99.0,5.0,96.0,5.0,82.0,5.0,84.0,5.0,84.0,81.6,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1249,World Language High School,HIGH SCHOOL,353,0.8,4.8,92.9,,,,1.4,17.6,31.2,96.6,5.4,178.0,91.6,122.0,37.8,7.1,82.7,85.5,23.0,90.4,68.0,65.8,38.0,35.9,42.0,3.0,62.0,4.0,44.0,3.0,63.0,4.0,75.0,4.0,84.7,82.1,331.0,3.9,2.4,0.0,0.6,1.2,26.9,0.0,0.0,28.7,City of Chicago SD 299, 9 10 11 12
1250,Douglass Academy High School,HIGH SCHOOL,61,,95.1,4.9,,,,,23.0,1.6,85.2,18.0,178.0,83.0,65.0,100.0,9.9,59.1,65.3,15.4,77.8,,31.7,2.0,93.8,57.0,3.0,53.0,3.0,0.0,0.0,69.0,4.0,65.0,4.0,98.3,99.9,234.0,50.0,61.5,0.0,0.0,2.6,94.0,27.4,0.0,16.7,City of Chicago SD 299, 9 10 11 12
1252,Lindblom Math & Science Acad HS,HIGH SCHOOL,1361,2.8,71.0,24.4,0.9,,0.3,0.7,10.3,1.9,63.9,0.4,178.0,93.1,515.0,42.7,0.4,94.7,98.8,26.3,85.1,243.0,93.1,22.0,24.2,57.0,3.0,66.0,4.0,82.0,5.0,71.0,4.0,88.0,5.0,63.1,66.7,1258.0,0.0,2.2,0.0,0.0,0.0,37.8,0.2,0.0,47.6,City of Chicago SD 299, 7 8 9 10 11 12
1253,Bronzeville Scholastic HS,HIGH SCHOOL,216,,97.2,2.3,0.5,,,,19.4,1.9,71.8,7.4,178.0,85.7,100.0,55.6,3.5,94.2,92.1,19.0,63.5,11.0,65.0,14.0,68.1,18.0,1.0,24.0,2.0,33.0,2.0,46.0,3.0,64.0,4.0,67.5,65.2,457.0,40.3,13.6,0.0,0.4,5.0,70.0,2.0,0.0,28.2,City of Chicago SD 299, 9 10 11 12
1254,School of Social Justice HS,HIGH SCHOOL,300,0.7,11.7,87.3,,,0.3,,21.0,24.3,95.3,2.3,178.0,87.2,179.0,66.5,8.1,80.0,81.8,23.5,86.4,61.0,64.7,23.0,58.3,65.0,4.0,72.0,4.0,46.0,3.0,54.0,3.0,53.0,3.0,88.8,75.0,309.0,4.2,8.1,0.0,0.0,0.0,46.3,0.6,0.0,25.9,City of Chicago SD 299, 9 10 11 12
1255,Multicultural Acad of Scholarshp HS,HIGH SCHOOL,220,0.9,15.5,83.6,,,,,37.3,36.8,95.5,4.5,178.0,85.1,195.0,80.2,10.8,61.6,55.4,16.1,87.8,38.0,54.3,27.0,63.6,63.0,4.0,66.0,4.0,63.0,4.0,54.0,3.0,56.0,3.0,78.2,87.5,274.0,0.7,6.2,0.0,2.2,2.2,55.1,0.7,0.0,10.9,City of Chicago SD 299, 9 10 11 12
1256,Infinity Math  Science & Tech HS,HIGH SCHOOL,407,0.2,0.7,98.8,0.2,,,,18.2,15.0,95.8,,178.0,93.7,109.0,29.1,1.4,92.2,88.6,19.8,90.3,87.0,72.4,39.0,21.9,61.0,4.0,72.0,4.0,77.0,4.0,60.0,4.0,64.0,4.0,84.7,74.3,422.0,1.9,0.9,0.0,0.0,0.0,32.2,0.0,0.0,20.9,City of Chicago SD 299, 9 10 11 12
1257,CICS - Ralph Ellison Campus,CHARTER SCH,346,,99.7,0.3,,,,,24.6,,92.5,20.5,178.0,,,,4.0,88.8,94.5,24.9,,0.0,,,,8.0,1.0,23.0,2.0,6.0,1.0,40.0,3.0,59.0,3.0,77.5,72.7,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1258,Collins Academy High School,HIGH SCHOOL,218,,97.2,2.3,,0.5,,,25.7,,96.8,15.6,178.0,82.9,210.0,100.0,5.5,55.2,91.5,16.6,72.7,35.0,60.0,7.0,78.8,60.0,4.0,83.0,5.0,40.0,3.0,81.0,5.0,89.0,5.0,84.7,84.0,365.0,88.8,38.4,0.5,2.5,9.3,74.0,6.6,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1259,Austin College and Career Academy High School,HIGH SCHOOL,195,0.5,97.4,1.0,,,0.5,0.5,31.8,0.5,93.8,13.8,178.0,81.4,288.0,100.0,15.9,47.4,58.8,27.0,43.3,50.0,27.5,15.0,94.8,25.0,2.0,35.0,2.0,30.0,2.0,40.0,3.0,59.0,3.0,81.1,99.9,196.0,63.3,38.3,0.0,3.1,3.1,88.3,4.1,0.0,6.1,City of Chicago SD 299, 9 10 11 12
1260,Orr Academy High School,HIGH SCHOOL,223,1.8,83.9,13.9,,,,0.4,25.1,4.5,92.8,21.1,178.0,74.4,407.0,100.0,16.8,38.4,38.0,26.3,74.1,39.0,35.6,22.0,100.0,68.0,4.0,78.0,4.0,66.0,4.0,39.0,2.0,62.0,4.0,71.9,76.2,405.0,79.0,4.0,0.0,0.0,0.5,108.9,1.7,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1261,Air Force Acad High School,HIGH SCHOOL,195,8.2,41.5,46.7,1.5,,,2.1,16.4,6.7,87.2,2.1,178.0,92.9,77.0,42.8,4.9,93.3,88.4,15.6,85.0,43.0,61.4,17.0,24.4,51.0,3.0,68.0,4.0,64.0,4.0,55.0,3.0,81.0,5.0,92.8,91.7,330.0,10.3,10.3,0.0,2.4,6.7,41.2,4.2,0.0,13.0,City of Chicago SD 299, 9 10 11 12
1262,Alcott Humanities High School,HIGH SCHOOL,318,10.4,19.2,67.3,0.9,0.6,0.3,1.3,25.5,7.9,74.5,2.8,178.0,90.9,184.0,64.5,2.5,92.2,87.3,22.6,89.0,82.0,76.8,13.0,36.0,80.0,5.0,82.0,5.0,89.0,5.0,71.0,4.0,65.0,4.0,86.2,65.5,308.0,14.3,8.8,0.0,0.0,1.3,52.6,2.9,0.0,23.7,City of Chicago SD 299, 9 10 11 12
1263,North Lawndale Prep Chtr - Christiana,CHARTER SCH,372,0.3,98.7,1.1,,,,,21.5,,96.8,21.5,178.0,92.5,186.0,57.8,1.1,92.1,98.6,29.5,50.0,60.0,,,26.7,43.0,3.0,47.0,3.0,39.0,2.0,46.0,3.0,78.0,4.0,71.9,83.3,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1264,Chicago Technology Academy HS,HIGH SCHOOL,272,2.2,80.1,16.5,0.7,,,0.4,29.0,1.5,89.3,16.9,178.0,90.1,179.0,75.1,1.9,84.8,93.5,18.4,0.0,85.0,59.5,17.0,46.5,37.0,2.0,40.0,3.0,41.0,3.0,52.0,3.0,58.0,3.0,80.7,99.9,331.0,14.5,21.5,0.0,0.0,0.0,61.0,3.3,0.0,13.0,City of Chicago SD 299, 9 10 11 12
1265,Chicago HS for the Arts,HIGH SCHOOL,611,19.8,33.7,35.2,1.8,0.2,0.3,9.0,12.6,0.8,37.0,1.3,178.0,97.4,27.0,4.7,1.3,94.9,92.9,,0.0,0.0,80.5,17.0,3.5,24.0,2.0,38.0,2.0,56.0,3.0,61.0,4.0,70.0,4.0,71.5,77.6,606.0,2.3,7.4,0.0,0.0,0.0,6.4,0.2,0.0,9.4,City of Chicago SD 299, 9 10 11 12
1266,Ogden Int High School,HIGH SCHOOL,594,12.6,43.8,37.2,3.0,,0.3,3.0,19.9,2.5,63.6,1.9,178.0,91.6,264.0,49.4,2.8,91.1,89.0,25.0,85.7,165.0,81.3,21.0,31.6,52.0,3.0,59.0,3.0,70.0,4.0,67.0,4.0,85.0,5.0,83.9,87.7,711.0,5.3,3.2,0.0,0.0,0.6,28.1,1.0,0.0,12.9,City of Chicago SD 299, 9 10 11 12
1267,Williams Medical Prep High Sch,HIGH SCHOOL,177,,97.2,2.3,,,,0.6,19.2,0.6,94.4,10.7,178.0,85.2,137.0,86.7,2.3,91.7,91.9,15.7,80.0,19.0,82.9,14.0,62.6,65.0,4.0,75.0,4.0,51.0,3.0,57.0,3.0,77.0,4.0,81.8,94.1,272.0,16.5,19.9,0.0,1.5,8.5,60.3,4.0,0.0,23.5,City of Chicago SD 299, 9 10 11 12
1268,Westinghouse High School,HIGH SCHOOL,1203,2.0,52.8,39.4,4.7,,,1.1,12.1,2.5,76.6,3.2,178.0,93.0,456.0,43.2,0.9,94.3,98.1,28.3,84.2,272.0,87.2,34.0,21.1,85.0,5.0,88.0,5.0,90.0,5.0,71.0,4.0,91.0,5.0,78.9,70.4,1182.0,0.3,6.3,0.0,0.0,0.2,40.9,1.6,0.0,36.6,City of Chicago SD 299, 9 10 11 12
1269,Solorio Academy High School,HIGH SCHOOL,1195,0.8,4.2,94.3,,,0.6,0.2,12.2,13.5,93.2,1.2,178.0,93.6,431.0,38.6,5.1,80.1,83.1,26.7,88.3,272.0,69.5,74.0,22.4,67.0,4.0,83.0,5.0,67.0,4.0,68.0,4.0,81.0,5.0,89.5,71.4,1113.0,4.0,3.1,0.0,0.2,0.5,25.0,0.5,0.0,27.2,City of Chicago SD 299, 9 10 11 12
1270,Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,CHARTER SCH,618,1.8,1.0,96.6,0.3,,0.3,,19.9,26.1,93.4,1.1,178.0,90.7,240.0,41.7,1.1,92.1,97.4,25.4,95.3,141.0,,,36.0,36.0,2.0,44.0,3.0,49.0,3.0,56.0,3.0,61.0,4.0,53.9,83.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1271,South Shore Intl Col Prep HS,HIGH SCHOOL,654,0.2,96.5,2.6,,,,0.8,13.6,0.9,82.1,2.6,178.0,90.5,306.0,54.9,2.4,92.9,92.7,24.7,91.6,157.0,81.2,20.0,34.8,33.0,2.0,33.0,2.0,53.0,3.0,43.0,3.0,82.0,5.0,74.4,64.6,590.0,43.2,2.4,0.0,0.7,1.0,51.2,1.0,0.0,16.8,City of Chicago SD 299, 9 10 11 12
1272,Goode STEM Academy HS,HIGH SCHOOL,917,0.8,45.5,52.5,0.2,0.1,0.3,0.7,19.1,9.9,85.8,0.7,178.0,88.8,593.0,73.2,0.6,97.0,98.1,27.4,78.8,194.0,67.0,75.0,46.0,64.0,4.0,79.0,4.0,90.0,5.0,59.0,3.0,75.0,4.0,76.2,91.0,835.0,22.0,15.7,0.0,1.0,1.8,40.6,4.1,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1273,Chicago Excel Academy HS,HIGH SCHOOL,294,,97.3,2.0,,,,0.7,16.0,1.0,85.0,23.5,178.0,79.7,278.0,100.0,37.9,25.6,41.1,26.3,,,23.2,5.0,100.0,55.0,3.0,49.0,3.0,0.0,0.0,67.0,4.0,80.0,5.0,62.5,60.0,231.0,0.0,0.0,0.0,0.0,0.0,58.9,0.0,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1275,Acero Chtr Sch Network Victoria Soto Campus,CHARTER SCH,541,0.2,1.5,98.3,,,,,15.7,32.7,89.6,0.6,178.0,88.4,285.0,57.6,4.0,87.6,85.9,26.4,77.1,106.0,,,46.6,42.0,3.0,59.0,3.0,78.0,4.0,63.0,4.0,66.0,4.0,88.0,92.7,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1278,Univ of Chicago Chtr-Woodlawn,CHARTER SCH,620,,97.6,1.1,,,0.2,1.1,21.8,0.2,78.5,2.4,178.0,,,,17.4,93.6,0.0,23.9,,0.0,,,,46.0,3.0,38.0,2.0,58.0,3.0,41.0,3.0,72.0,4.0,78.1,74.1,,,,,,,,,,,City of Chicago SD 299, 6 7 8 9 10 11 12
1368,Chicago Math & Sci Elem Charter,CHARTER SCH,604,5.0,30.8,51.8,9.8,,0.5,2.2,16.1,20.4,91.1,2.3,178.0,95.5,160.0,27.2,6.8,91.9,73.9,18.6,38.5,62.0,80.2,,10.0,45.0,3.0,47.0,3.0,50.0,3.0,56.0,3.0,73.0,4.0,73.4,85.1,610.0,0.3,0.3,0.3,0.0,0.0,14.6,0.0,0.0,11.3,City of Chicago SD 299, 6 7 8 9 10 11 12
1426,Chicago Virtual Charter School,CHARTER SCH,673,11.9,58.2,20.1,6.8,0.3,0.1,2.5,14.6,7.7,64.2,2.2,178.0,86.5,341.0,62.5,8.1,45.5,56.3,31.9,51.6,26.0,55.6,,48.1,38.0,2.0,33.0,2.0,59.0,3.0,60.0,4.0,45.0,3.0,57.6,82.3,684.0,0.0,0.6,0.0,0.0,0.0,23.2,0.1,0.0,1.2,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1473,Catalyst Charter - Maria ES,CHARTER SCH,1095,1.6,44.0,53.6,0.2,0.1,,0.5,19.1,19.7,92.8,5.1,178.0,95.4,211.0,22.2,1.1,92.7,95.6,18.5,9.4,145.0,67.2,,12.3,,,,,,,,,,,,,1100.0,0.4,15.5,1.1,0.0,0.0,8.4,0.3,0.0,9.2,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1534,Horizon Sci Academy - Southwest Charter,CHARTER SCH,734,0.4,29.7,68.4,,,0.1,1.4,18.7,24.7,95.4,0.8,178.0,94.2,277.0,40.9,1.6,88.1,,11.2,2.7,19.0,,,17.6,26.0,2.0,29.0,2.0,35.0,2.0,25.0,2.0,36.0,2.0,53.7,68.0,567.0,0.0,0.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1583,CICS - Longwood Campus,CHARTER SCH,1283,,99.4,0.6,,,,,22.0,0.9,88.1,4.1,178.0,,,,3.0,82.1,99.0,21.0,100.0,0.0,,,,48.0,3.0,47.0,3.0,36.0,2.0,12.0,1.0,44.0,3.0,67.4,74.1,,,,,,,,,,,City of Chicago SD 299, 3 4 5 6 7 8 9 10 11 12
1713,Marine Leadership Academy - Ames,ELEMENTARY,846,0.9,2.0,96.5,0.2,,0.1,0.2,13.9,19.5,97.5,1.9,178.0,94.8,276.0,35.8,1.3,95.1,96.2,24.6,90.1,125.0,55.4,,15.5,82.0,5.0,87.0,5.0,97.0,5.0,76.0,4.0,97.0,5.0,53.3,87.5,796.0,0.8,9.2,0.0,0.3,1.3,22.9,2.1,0.0,3.5,City of Chicago SD 299, 7 8 9 10 11 12
