,School Name,School Type,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,High School 5-Year Graduation Rate - Total,Avg Class Size - High School,Teacher Retention Rate,# 9th Grade on Track,% Graduates enrolled in a Postsecondary Institution within 12 months,# Graduates enrolled in Community College,Chronic Absenteeism,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction.1,Five Essential Survey Student Response Rate,Five Essential Survey Teacher Response Rate,# CRDC Total Enrollment,% CRDC In-School Suspensions,% CRDC Out-of-School Suspensions,% CRDC Expulsions,% CRDC School Related Arrests,% CRDC Referral to Law Enforcement,% CRDC Chronic Absenteeism,% CRDC Incidents of Violence,% CRDC Enrolled PreK,% CRDC Advanced Placement Coursework,District,Grades Served
1180,Noble St Chtr-UIC College Prep,CHARTER SCH,934,1.2,30.0,64.9,3.1,0.1,0.3,0.4,18.6,10.7,85.1,3.9,178.0,93.2,304.0,33.7,4.6,94.2,97.1,26.1,62.0,246.0,,,18.6,69.0,4.0,73.0,4.0,78.0,4.0,72.0,4.0,93.0,5.0,88.1,88.2,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1181,Noble St Chtr-Chicago Bulls Prep,CHARTER SCH,1137,0.6,31.3,67.1,0.4,0.1,0.3,0.2,20.1,9.6,90.1,2.4,178.0,92.6,512.0,46.6,1.8,94.8,99.6,28.3,78.9,278.0,,,22.4,49.0,3.0,63.0,4.0,53.0,3.0,78.0,4.0,91.0,5.0,62.5,80.6,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1182,Noble St Chtr-Muchin College Prep,CHARTER SCH,973,0.4,28.8,66.3,3.7,,0.3,0.5,16.2,9.5,85.2,3.3,178.0,94.4,209.0,22.9,2.1,92.0,100.0,27.7,75.0,261.0,,,16.5,46.0,3.0,59.0,3.0,79.0,4.0,66.0,4.0,91.0,5.0,94.7,88.1,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1183,Noble St Chtr-Johnson College Prep,CHARTER SCH,765,,95.7,3.5,0.1,0.1,0.3,0.3,22.2,0.8,91.8,17.4,178.0,88.3,537.0,73.9,6.1,84.9,97.2,23.0,63.0,140.0,,,46.0,36.0,2.0,44.0,3.0,63.0,4.0,61.0,4.0,81.0,5.0,57.9,71.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1184,Noble St Chtr-Hansberry College Prep - Silver,CHARTER SCH,554,,99.1,0.7,,0.2,,,24.0,1.3,80.1,2.9,178.0,92.6,267.0,51.5,5.2,87.5,89.6,23.5,75.0,115.0,,,29.1,38.0,2.0,51.0,3.0,49.0,3.0,52.0,3.0,81.0,5.0,53.7,87.2,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1185,Noble St Chtr-DRW Trading College Prep,CHARTER SCH,355,,95.5,3.7,0.3,,,0.6,33.5,0.3,94.4,19.2,178.0,87.4,256.0,79.1,7.9,90.7,98.3,21.5,28.1,66.0,,,67.1,59.0,3.0,60.0,4.0,60.0,4.0,49.0,3.0,66.0,4.0,50.3,73.5,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1186,Noble St Chtr-Butler College Prep - Crimson,CHARTER SCH,676,0.3,94.7,4.0,,0.1,,0.9,23.4,2.1,89.3,13.3,178.0,92.3,365.0,56.6,2.1,90.6,100.0,24.7,82.8,147.0,,,26.0,45.0,3.0,50.0,3.0,67.0,4.0,59.0,3.0,89.0,5.0,84.0,58.8,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1187,Noble St Chtr-Baker Campus,CHARTER SCH,230,1.7,79.1,17.4,0.4,0.4,0.4,0.4,27.8,10.4,95.7,10.9,178.0,89.8,140.0,64.5,9.7,84.5,89.5,20.0,66.7,37.0,,,43.6,76.0,4.0,87.0,5.0,78.0,4.0,64.0,4.0,95.0,5.0,72.2,92.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1188,Noble St Chtr-Noble Campus,CHARTER SCH,668,1.2,11.4,85.6,0.7,,0.6,0.4,20.2,10.5,83.4,2.1,178.0,94.5,243.0,38.8,1.6,95.2,100.0,24.7,64.9,130.0,,,15.5,73.0,4.0,82.0,5.0,80.0,5.0,84.0,5.0,93.0,5.0,92.0,90.5,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1189,Noble St Chtr-ITW Speer Acad,CHARTER SCH,1067,1.5,12.9,84.8,0.2,0.1,0.2,0.3,20.7,13.7,88.7,1.4,178.0,94.3,339.0,32.7,2.9,86.5,97.0,32.4,2.1,282.0,,,15.0,57.0,3.0,67.0,4.0,70.0,4.0,74.0,4.0,76.0,4.0,86.6,93.4,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1190,Noble St Chtr-The Noble Academy,CHARTER SCH,444,1.6,41.9,51.4,3.2,,1.1,0.9,19.1,5.9,82.2,2.0,178.0,93.1,179.0,43.4,3.9,89.7,97.5,26.1,0.0,122.0,,,22.5,49.0,3.0,69.0,4.0,80.0,5.0,64.0,4.0,72.0,4.0,62.8,93.8,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1192,North Lawndale Prep Chtr-Collins,CHARTER SCH,359,,98.6,0.6,,,,0.8,21.4,,94.4,5.8,178.0,96.3,75.0,23.4,1.1,85.9,98.4,28.5,,70.0,,,8.4,51.0,3.0,58.0,3.0,50.0,3.0,66.0,4.0,92.0,5.0,79.1,69.2,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1193,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,CHARTER SCH,657,2.6,38.7,55.7,1.4,0.3,0.6,0.8,14.8,44.0,92.7,0.6,178.0,94.5,75.0,13.6,1.2,86.4,98.1,9.1,80.2,26.0,,,20.7,20.0,2.0,16.0,1.0,24.0,2.0,36.0,2.0,36.0,2.0,60.5,94.9,,,,,,,,,,,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1194,Perspectives Chtr - Joslin Campus,CHARTER SCH,382,0.3,91.4,6.0,0.8,0.5,,1.0,23.0,1.3,85.3,1.0,178.0,93.9,135.0,38.0,2.4,100.0,98.3,4.3,0.0,5.0,,,20.8,25.0,2.0,19.0,1.0,29.0,2.0,37.0,2.0,47.0,3.0,57.4,63.3,,,,,,,,,,,City of Chicago SD 299, 6 7 8 9 10 11 12
1195,Perspectives Chtr - Leadership Acad,CHARTER SCH,406,,97.5,1.5,,0.2,,0.7,22.4,0.2,92.4,6.4,178.0,92.5,191.0,52.5,1.5,94.5,100.0,3.4,0.0,7.0,,,31.9,53.0,3.0,56.0,3.0,53.0,3.0,47.0,3.0,71.0,4.0,80.2,86.8,,,,,,,,,,,City of Chicago SD 299, 6 7 8 9 10 11 12
1196,Chicago Vocational Career Acad HS,HIGH SCHOOL,875,0.1,97.0,2.3,0.1,,0.1,0.3,26.5,1.9,92.6,16.5,178.0,83.6,953.0,100.0,9.2,67.3,71.7,28.3,81.0,192.0,46.0,51.0,82.7,57.0,3.0,63.0,4.0,65.0,4.0,56.0,3.0,87.0,5.0,82.6,72.7,977.0,1.3,13.5,0.0,7.4,15.1,73.7,2.6,0.0,9.3,City of Chicago SD 299, 9 10 11 12
1197,Perspectives Chtr - High School of Technology,CHARTER SCH,317,,98.1,0.9,,,,0.9,24.0,0.9,91.8,4.4,178.0,91.5,163.0,58.5,1.4,97.4,98.6,3.5,0.0,5.0,,,34.8,50.0,3.0,59.0,3.0,50.0,3.0,50.0,3.0,67.0,4.0,84.9,75.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1198,Dunbar Vocational Career Acad HS,HIGH SCHOOL,312,0.6,95.2,4.2,,,,,31.4,3.2,95.8,11.2,178.0,86.7,213.0,80.9,6.0,84.5,78.5,25.1,76.4,42.0,54.5,40.0,64.1,56.0,3.0,74.0,4.0,76.0,4.0,53.0,3.0,78.0,4.0,89.4,88.6,771.0,12.8,21.5,0.3,1.6,4.4,54.6,1.3,0.0,15.4,City of Chicago SD 299, 9 10 11 12
1199,Jones College Prep High School,HIGH SCHOOL,1908,37.9,11.9,29.5,14.3,0.6,0.3,5.5,15.6,1.2,37.5,0.2,178.0,92.6,383.0,22.3,0.9,95.9,96.2,28.2,93.2,495.0,89.2,36.0,23.8,36.0,2.0,44.0,3.0,79.0,4.0,84.0,5.0,95.0,5.0,90.5,70.9,1675.0,2.4,1.3,0.0,0.2,0.2,33.9,0.0,0.0,47.9,City of Chicago SD 299, 9 10 11 12
